Results for 150k Dataset
==============================
Comment Count	Number of Users
------------------------------
1		99801
2		13115
3		3443
4		1165
5		552
6		276
7		133
8		81
9		49
10		34
11		33
12		15
13		17
14		12
15		9
16		12
17		6
18		8
19		2
20		4
21		2
22		2
24		1
25		1
26		2
28		1
29		1
30		1
31		1
38		2
44		1
47		1
49		1
60		1
==============================
Total unique users: 34
Total comments: 118785
